ministro,indicacao,magistratura,politica
ThompsonFlores,Costa e Silva,SIM,NÃO
DjaciFalcao,Castello Branco,SIM,NÃO
AntonioNeder,Garrastazu Médici,SIM,NÃO
RodriguesAlckmin,Garrastazu Médici,SIM,NÃO
XavierAlbuquerque,Garrastazu Médici,NÃO,NÃO
LeitaoAbreu,Ernesto Geisel,NÃO,SIM
CordeiroGuerra,Ernesto Geisel,NÃO,NÃO
MoreiraAlves,Ernesto Geisel,NÃO,SIM
CunhaPeixoto,Ernesto Geisel,SIM,SIM
SoaresMunoz,Ernesto Geisel,SIM,NÃO
DecioMiranda,Ernesto Geisel,NÃO,NÃO
RafaelMayer,Ernesto Geisel,NÃO,SIM
ClovisRamalhete,João Figueiredo,NÃO,NÃO
FirminoPaz,João Figueiredo,NÃO,NÃO
NeriSilveira,João Figueiredo,SIM,NÃO
AlfredoBuzaid,João Figueiredo,NÃO,SIM
OscarCorrea,João Figueiredo,NÃO,SIM
AldirPassarinho,João Figueiredo,SIM,SIM
FranciscoRezek,João Figueiredo,NÃO,SIM
SydneySanches,João Figueiredo,SIM,NÃO
OctavioGallotti,João Figueiredo,NÃO,NÃO
CarlosMadeira,José Sarney,SIM,NÃO
CelioBorja,José Sarney,NÃO,SIM
PauloBrossard,José Sarney,NÃO,SIM
SepulvedaPertence,José Sarney,NÃO,NA
CelsodeMello,José Sarney,NÃO,NA
CarlosVelloso,Collor,NÃO,NA
MarcoAurelio,Collor,SIM,NA
IlmarGalvao,Collor,SIM,NA
